"Ministry Of Railways
Na
Kapurthala Rail Coach Factory Kapurthala",Power Cable For Direct Burial Xlpe Ugac Cable,2000,08-12-2018 08:36:am,21-12-2018 11:00:am,Technical Evaluation,GEM/2018/B/133457,https://bidplus.gem.gov.in/showbidDocument/963117,963117
"Ministry Of Defence
Department Of Defence Production And Supply
Ordnance Factory Varangaon Indian Ordnance Factories",Power Cable For Direct Burial Xlpe Ugac Cable,2000,07-12-2018 03:25:pm,19-12-2018 03:00:pm,Financial Evaluation,GEM/2018/B/129909,https://bidplus.gem.gov.in/showbidDocument/936055,936055
"Ministry Of Defence
Department Of Defence Production And Supply
Ordnance Factory Varangaon Indian Ordnance Factories",Power Cable For Direct Burial Xlpe Ugac Cable,2000,07-12-2018 03:22:pm,19-12-2018 03:00:pm,Technical Evaluation,GEM/2018/B/131828,https://bidplus.gem.gov.in/showbidDocument/950933,950933
"Ministry Of Defence
Department Of Defence Production And Supply
Ordnance Factory Varangaon Indian Ordnance Factories",Power Cable For Direct Burial Xlpe Ugac Cable,2000,07-12-2018 03:27:pm,18-12-2018 03:00:pm,Technical Evaluation,GEM/2018/B/129810,https://bidplus.gem.gov.in/showbidDocument/935306,935306
"Ministry Of Defence
Department Of Defence Production And Supply
Ordnance Factory Varangaon Indian Ordnance Factories",Power Cable For Direct Burial Xlpe Ugac Cable,2000,07-12-2018 03:23:pm,18-12-2018 03:00:pm,Technical Evaluation,GEM/2018/B/131824,https://bidplus.gem.gov.in/showbidDocument/950905,950905
"Ministry Of Power
Na
Cc-eoc Noida N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,06-12-2018 07:06:pm,18-12-2018 02:00:pm,Technical Evaluation,GEM/2018/B/127956,https://bidplus.gem.gov.in/showbidDocument/921124,921124
"Ministry Of Power
Na
Cc-eoc Noida N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,06-12-2018 07:15:pm,18-12-2018 02:00:pm,Technical Evaluation,GEM/2018/B/127983,https://bidplus.gem.gov.in/showbidDocument/921334,921334
"Pmo
Na
Na N/a",Power Cable For Direct Burial Xlpe Ugac Cable,2800,06-12-2018 03:57:pm,18-12-2018 10:00:am,Bid Award,GEM/2018/B/132258,https://bidplus.gem.gov.in/showbidDocument/954094,954094
"Ministry Of Railways
Na
Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,46035,20-12-2018 06:55:am,24-12-2018 06:45:pm,RA Award,GEM/2018/B/132565,https://bidplus.gem.gov.in/showbidDocument/956425,956425
"Ministry Of Railways
Na
North Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1750,06-12-2018 05:17:pm,17-12-2018 08:00:pm,Technical Evaluation,GEM/2018/B/132414,https://bidplus.gem.gov.in/showbidDocument/955256,955256
"Ministry Of Railways
Na
North Western Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1000,06-12-2018 05:33:pm,17-12-2018 08:00:pm,Technical Evaluation,GEM/2018/B/132447,https://bidplus.gem.gov.in/showbidDocument/955522,955522
